match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr
2337835,2019-11-15 22:00,8813,8637,illuminar,sprout,16,11,1,1,25,23,0,0,26.02543325,2.406475286,26.57020067,2.174041314,0.428152559,983.5998703,1007.792731,0.465239837,3,2,65,28,37,0.432432432,0,3,28,0.464285714,5,3,7,0.428571429,0.385431456,0.992898551,0.221857125,13.26086957,3.884760914,1.695652174,1.506549449,0.992753623,0.222076655,72.38869565,8.598738349,66.68811594,9.654277309,0.485507246,0.360866655,1.052876712,0.207684425,13.5890411,3.940779481,1.657534247,1.482493069,1.05339726,0.207947487,73.11178082,8.291412184,69.88712329,7.569449317,0.47260274,0.369101194
2337842,2019-12-12 14:00,6667,4411,faze,ninjas-in-pyjamas,0,2,0,3,7,10,0,1,27.42560184,2.393383845,27.23536654,2.386113998,0.524960661,1035.902104,1032.200074,0.505327448,77,27,72,28,26,0.5,3,24,35,0.514285714,0,13,3,1,0.647103871,1.091666667,0.246859909,12.87037037,3.766550127,1.166666667,0.87665188,1.090962963,0.247443743,74.61,9.34325326,70.88259259,9.772863447,0.444444444,0.355729124,1.091641791,0.240959506,13.74626866,3.754969975,1.223880597,1.156692344,1.091044776,0.240651444,75.36238806,8.95337143,70.76925373,9.300680975,0.440298507,0.351142996
2337843,2019-12-12 18:00,5973,6665,liquid,astralis,0,2,0,3,4,1,0,1,28.41754272,2.221385255,30.8868141,2.555588847,0.208270234,1066.398827,1037.444179,0.541572888,49,15,327,84,27,0.555555556,0,11,32,0.78125,8,11,10,0.3,0.441841254,1.144285714,0.22378128,13.35714286,2.662092165,1.375,1.188674231,1.145285714,0.223960592,77.07964286,8.231113873,72.39321429,8.97021522,0.5625,0.328178142,1.157121212,0.220163611,14.07575758,3.430304369,1.621212121,1.228020722,1.157151515,0.220510169,77.24121212,8.301365261,72.99939394,7.88128429,0.507575758,0.364030721
2337844,2019-12-14 19:00,6665,5973,astralis,liquid,2,0,1,3,1,4,0,1,31.94789924,2.631053282,28.29081028,2.268428558,0.884050029,1032.373348,1060.961068,0.45895156,329,86,51,18,34,0.794117647,9,2,30,0.566666667,0,2,12,0.75,0.558728348,1.161428571,0.215222713,14.07142857,3.377748314,1.557142857,1.226326853,1.161571429,0.215550297,77.49114286,8.135374351,73.148,7.717781621,0.507142857,0.363444407,1.132380952,0.216792742,13.61904762,2.722210653,1.428571429,1.204677204,1.133206349,0.217030622,76.56444444,8.036264981,72.02952381,8.589490705,0.571428571,0.319438282
2337845,2019-12-14 14:00,4411,5973,ninjas-in-pyjamas,liquid,0,2,0,3,10,4,0,1,27.47573276,2.309938661,28.29081028,2.268428558,0.393171002,1027.592874,1060.961068,0.452126414,74,30,51,17,32,0.5,1,2,29,0.551724138,0,2,2,0.5,0.396296296,1.088787879,0.244128103,13.65151515,3.731489362,1.196969697,1.117623249,1.088393939,0.243687634,75.31909091,8.972544946,71.00757576,9.397355376,0.462121212,0.362133891,1.130983607,0.220027606,13.49180328,2.658872871,1.426229508,1.193685798,1.131836066,0.220275028,76.50786885,8.149093707,71.96393443,8.717974513,0.56557377,0.3197772
2337846,2019-12-13 18:00,6667,5973,faze,liquid,1,2,0,3,7,4,0,1,28.04536018,2.467815191,27.74185598,2.30746,0.539787146,1030.925757,1060.983098,0.456851601,78,28,50,16,27,0.481481481,0,1,28,0.535714286,0,1,1,0,0.238095238,1.084285714,0.245646793,12.82142857,3.718232793,1.196428571,0.894819273,1.083678571,0.246119244,74.33357143,9.317515079,70.66714286,9.6653072,0.4375,0.354341693,1.13637931,0.223835672,13.43103448,2.685286018,1.396551724,1.173554212,1.137413793,0.223974755,76.7637931,8.266364299,72.18413793,8.884632807,0.560344828,0.32267185
2337847,2019-12-13 14:00,4411,6665,ninjas-in-pyjamas,astralis,0,2,0,3,10,1,0,0,27.87337801,2.3334529,31.76111099,2.651892378,0.102885891,1032.522044,1032.859908,0.499513775,73,29,328,85,33,0.515151515,1,1,33,0.787878788,9,1,1,1,0.695652174,1.095909091,0.243054909,13.66666667,3.747052714,1.166666667,1.122542209,1.09530303,0.242778985,75.54212121,8.990388894,71.13909091,9.355225039,0.454545455,0.355980004,1.157941176,0.216954582,14.04411765,3.423250191,1.588235294,1.227566868,1.158058824,0.217306769,77.33529412,8.19699523,73.02117647,7.77309756,0.507352941,0.358639659
2337884,2019-11-15 23:20,9976,4602,gambit-youngsters,tricked,7,16,1,1,30,20,1,0,28.70654016,4.574288797,26.74674291,2.518551881,0.710954636,1047.654885,1011.189958,0.552285407,114,25,18,11,19,0.578947368,0,0,40,0.575,1,0,0,0,0,1.076315789,0.201486855,13.47368421,4.203612745,1.184210526,1.210812323,1.075631579,0.201863349,72.39421053,7.770966082,70.51947368,8.549243718,0.618421053,0.37052968,1.102533333,0.196910087,14.61333333,3.618078066,1.693333333,1.295873794,1.103413333,0.19688339,75.71306667,7.861906465,70.8616,8.348154773,0.52,0.350618501
2337944,2019-11-20 19:00,7865,8135,havu,forze,2,0,1,3,27,18,0,1,27.37496989,2.6219878,26.43991063,1.939813531,0.621847694,1047.124584,995.1122594,0.574297549,64,50,240,104,49,0.612244898,4,1,49,0.469387755,0,4,4,0,0.421815222,1.074623656,0.205711768,13.22580645,3.193168219,1.462365591,1.141204229,1.074924731,0.205898724,74.52365591,7.992211233,70.04860215,8.219985296,0.5,0.366617788,1.081511628,0.192139227,14.38372093,4.420272023,1.534883721,1.326804821,1.081302326,0.191918773,74.65581395,7.358283493,70.16162791,7.667876341,0.48255814,0.318496417
2337950,2019-11-20 05:00,5995,4863,g2,tyloo,0,2,0,3,13,26,1,0,27.46080447,2.309947144,25.71231911,4.169376315,0.696978785,1009.164469,1057.593761,0.430752554,50,14,155,18,28,0.5,2,5,12,0.5,2,3,1,1,0.615384615,1.039016393,0.1829423,13.72131148,3.888322777,1.37704918,0.960941042,1.039081967,0.182962712,72.47081967,7.192360769,69.01672131,8.208777533,0.540983607,0.317457651,1.0075,0.255950028,12.33333333,4.722875772,1.666666667,1.178511302,1.007833333,0.256738464,72.39333333,7.997507251,68.635,10.16613209,0.625,0.388640794
