,match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr,rank_diff,age_diff,xp_diff,mp_diff,wr_diff,ws_diff,rust_diff,avg_hltv_rating_diff,sd_hltv_rating_diff,avg_fk_pr_diff,sd_fk_pr_diff,avg_cl_pr_diff,sd_cl_pr_diff,avg_pl_rating_diff,sd_pl_rating_diff,avg_pl_adr_diff,sd_pl_adr_diff,avg_plr_kast_diff,sd_plr_kast_diff,avg_pistol_wr_diff,sd_pistol_wr_diff
1868,2349928,2021/07/17 16:00,5995,6665,g2,astralis,2,1,1,3,3,10,1,1,29.58079653,1.458010315,28.59250078,1.624902578,0.637451749,1043.407636,1052.657207,0.486691942,133,39,79,17,27,0.703703704,3,6,16,0.5,1,1,3,0.666666667,0.609661836,1.080144928,0.196428198,13.14492754,3.037329883,1.550724638,1.34634483,1.079971014,0.195746803,72.86115942,7.445346282,71.02550725,7.157225504,0.594202899,0.363909552,1.016764706,0.175829473,14.85294118,4.312310374,1.558823529,1.192899988,1.016529412,0.175158623,72.12235294,7.344593473,69.08117647,7.217628649,0.5,0.271163072,7,54,22,11,0.20370370400000004,2,5,0.06338022199999993,0.020598725000000012,-1.7080136400000008,-1.274980491,-0.008098891000000163,0.15344484200000008,0.06344160200000015,0.020588179999999984,0.738806480000008,0.10075280900000028,1.9443307800000014,-0.06040314499999955,0.094202899,0.09274648000000002
1869,2349929,2021/07/17 20:30,4608,6667,natus-vincere,faze,2,0,1,3,2,17,1,1,30.50827185,1.829693893,27.57708546,1.580995023,0.847285767,1051.385605,1058.910614,0.489172334,105,30,31,13,28,0.714285714,5,6,19,0.421052632,4,1,3,0.666666667,0.475555556,1.132777778,0.20475746,13.98611111,3.102387322,1.597222222,1.150600353,1.132416667,0.20466475,75.2925,8.107926463,73.36611111,7.080418725,0.513888889,0.333043856,1.038541667,0.15073417,13.85416667,4.281693509,1.5,1.060660172,1.038083333,0.151392954,72.71166667,6.619905379,69.22791667,5.5384004,0.479166667,0.367399835,15,74,17,9,0.293233082,1,5,0.09423611099999984,0.05402329,0.13194443999999983,-1.1793061870000003,0.09722222200000008,0.08994018100000001,0.09433333399999988,0.05327179600000001,2.5808333300000044,1.4880210839999997,4.138194440000007,1.5420183250000008,0.03472222199999997,-0.03435597899999998
1870,2349930,2021/07/18 16:00,5995,4608,g2,natus-vincere,0,3,0,5,3,2,1,1,29.6802838,1.455783621,30.59115698,1.823763693,0.374434714,1048.540717,1056.493882,0.488556474,134,40,106,31,28,0.714285714,4,1,29,0.724137931,6,1,3,0.333333333,0.453333333,1.078055556,0.194255265,13.13888889,2.973519966,1.555555556,1.342560664,1.077888889,0.193538078,72.78138889,7.333735085,70.83777778,7.121592016,0.604166667,0.36264365,1.139594595,0.206151605,14.0,3.088776544,1.581081081,1.139069757,1.139189189,0.206018871,75.58891892,8.208812102,73.61648649,7.166560755,0.52027027,0.333280066,-1,28,9,-1,-0.009852217000000052,-2,0,-0.06153903899999991,-0.011896339999999977,-0.8611111099999995,-0.11525657799999989,-0.025525524999999938,0.20349090700000017,-0.061300300000000085,-0.01248079299999999,-2.8075300299999952,-0.8750770169999997,-2.7787087100000036,-0.04496873899999976,0.08389639699999996,0.029363583999999998
1871,2349963,2021/07/09 16:00,11003,10386,dbl-poney,skade,2,1,1,3,27,24,0,1,25.00548238,2.864286159,26.48404409,1.679906715,0.314303083,1004.372631,1028.057674,0.465967186,34,13,10,10,33,0.424242424,0,2,55,0.6,0,1,4,0.25,0.421957672,1.037763158,0.194094379,13.53947368,4.311675671,1.697368421,1.277536042,1.037842105,0.193612952,72.58868421,6.876493396,68.74921053,7.465200276,0.526315789,0.333391038,1.063030303,0.220364503,13.40151515,4.35169742,1.765151515,1.57085119,1.062525974,0.221014802,73.06566017,9.078218047,70.1234632,8.942436428,0.496212121,0.366681536,-3,24,3,-22,-0.17575757599999997,0,1,-0.025267144999999935,-0.026270123999999978,0.13795853000000058,-0.040021749000000106,-0.06778309399999993,-0.293315148,-0.02468386899999997,-0.027401850000000005,-0.4769759600000043,-2.201724651,-1.3742526700000042,-1.4772361520000006,0.030103667999999972,-0.033290498
1872,2349987,2021/07/11 17:15,11148,11003,akuma,dbl-poney,3,2,1,5,23,27,0,1,25.38370011,3.723973874,24.57970777,2.824990863,0.593512771,988.7806852,1005.14482,0.476467516,16,6,36,15,14,0.428571429,0,11,35,0.428571429,0,1,3,0.333333333,0.41767428,0.965517241,0.249352074,12.34482759,5.147988305,0.965517241,0.927836141,0.965931034,0.248362073,70.0937931,9.676447201,65.19448276,9.660730174,0.448275862,0.401394715,1.032222222,0.197821468,13.37037037,4.301720714,1.679012346,1.265176126,1.032444444,0.197248731,72.46074074,7.210211856,68.48962963,7.595883948,0.518518519,0.337423466,4,-20,-9,-21,0.0,0,10,-0.06670498099999989,0.05153060600000001,-1.0255427800000003,0.8462675910000002,-0.7134951049999999,-0.33733998500000006,-0.06651341,0.05111334199999998,-2.3669476400000065,2.4662353450000003,-3.2951468699999964,2.0648462259999993,-0.07024265699999999,0.06397124900000001
1873,2350319,2021/08/16 16:45,9565,4869,vitality,ence,2,0,1,3,9,23,0,0,27.80234822,1.966463229,27.07918132,1.773701476,0.597931747,1024.362029,1061.199652,0.447184166,109,20,96,22,13,0.461538462,0,36,18,0.722222222,0,33,0,0.0,0.0,1.086071429,0.19627494,13.5,3.51018925,1.714285714,1.435696517,1.086071429,0.19598796,74.79785714,7.669398075,71.05642857,7.226860717,0.535714286,0.376273348,1.132222222,0.221167497,13.71111111,3.618607603,2.044444444,1.172946064,1.132666667,0.221242552,76.79333333,8.455677908,72.10933333,7.733758149,0.544444444,0.362433476,14,13,-2,-5,-0.26068376,0,3,-0.04615079300000002,-0.024892556999999982,-0.21111110999999916,-0.10841835300000024,-0.33015872999999973,0.262750453,-0.046595238000000094,-0.02525459200000002,-1.9954761899999909,-0.786279833,-1.052904760000004,-0.5068974319999997,-0.008730157999999988,0.01383987200000003
1874,2350320,2021/08/16 20:00,6665,7020,astralis,spirit,2,1,1,3,4,12,0,0,28.05318108,2.01857866,28.65793448,1.565761546,0.417305244,1037.905051,1044.514695,0.490489106,0,1,32,4,12,0.5,0,30,22,0.636363636,3,31,0,0.0,0.0,1.015555556,0.14601708,14.7037037,3.364463689,1.555555556,1.227262335,1.015407407,0.145553162,72.00666667,6.621424262,68.72,5.451966686,0.444444444,0.283278862,1.075438596,0.21361607,14.24561404,4.005613174,1.561403509,1.228571326,1.075754386,0.213497876,73.40315789,8.320101036,70.56,7.759320824,0.51754386,0.362313622,8,-32,-3,-10,-0.136363636,-3,-1,-0.05988303999999989,-0.06759899,0.4580896600000006,-0.6411494849999997,-0.005847952999999961,-0.001308990999999926,-0.06034697899999997,-0.06794471399999999,-1.3964912200000015,-1.6986767740000008,-1.8400000000000034,-2.307354138,-0.07309941599999997,-0.07903475999999998
1875,2350322,2021/08/17 16:45,6665,4869,astralis,ence,0,2,0,3,4,24,0,0,28.36007191,1.998920217,26.91952572,1.766878155,0.689230702,1043.084059,1065.671494,0.467539787,1,2,97,23,13,0.538461538,1,1,19,0.684210526,0,1,0,0.0,0.0,1.023666667,0.154563543,14.23333333,3.499365022,1.6,1.171893055,1.0238,0.154182014,72.02333333,7.07850094,68.89533333,5.451465083,0.466666667,0.286744176,1.126170213,0.218656957,13.72340426,3.547262221,2.042553191,1.166143796,1.126595745,0.218718478,76.60553191,8.326641889,71.99446809,7.597449406,0.521276596,0.371275072,20,-96,-21,-6,-0.14574898800000002,1,0,-0.10250354599999989,-0.06409341400000002,0.5099290700000001,-0.04789719899999989,-0.442553191,0.0057492589999998955,-0.10279574499999988,-0.06453646399999999,-4.5821985799999965,-1.2481409489999997,-3.0991347599999983,-2.1459843229999995,-0.054609929,-0.08453089599999997
1876,2350323,2021/08/17 20:00,7175,7020,heroic,spirit,2,0,1,3,8,12,0,0,28.08894242,1.587231534,28.15938357,1.549067961,0.490025266,1049.221204,1055.170091,0.4914397,164,31,33,5,12,0.5,1,1,22,0.590909091,0,1,3,0.666666667,0.505626977,1.06862069,0.199096652,14.51724138,3.430297963,1.551724138,1.220124553,1.07,0.198767235,73.43172414,7.088859676,70.98,7.964904052,0.448275862,0.355858059,1.063103448,0.214903402,14.20689655,3.990327187,1.482758621,1.235137565,1.063310345,0.214720203,72.88137931,8.387010369,70.1262069,7.877670938,0.49137931,0.353448276,4,131,26,-10,-0.090909091,1,0,0.005517242000000033,-0.01580674999999998,0.31034483,-0.560029224,0.06896551699999987,-0.015013012000000048,0.006689654999999961,-0.015952968000000012,0.5503448300000002,-1.2981506930000002,0.8537931000000043,0.087233114,-0.04310344799999999,0.0024097829999999987
1877,2350325,2021/08/18 16:45,7020,4869,spirit,ence,0,2,0,3,12,24,0,0,28.0062231,1.544912052,27.18977244,1.758148801,0.613147583,1060.084488,1060.346891,0.499622371,34,6,98,24,23,0.565217391,0,1,20,0.7,1,1,0,0.0,0.0,1.0565,0.214280385,14.05,4.014245467,1.466666667,1.217465491,1.056866667,0.213963974,72.62,8.366786719,69.92433333,7.822321132,0.483333333,0.353160335,1.126530612,0.21415759,13.75510204,3.548673867,2.0,1.160576915,1.126938776,0.214214884,76.62979592,8.175945927,72.07265306,7.454987859,0.530612245,0.369889162,12,-64,-18,3,-0.13478260899999994,-1,0,-0.07003061200000005,0.00012279499999998111,0.2948979600000001,0.4655716000000001,-0.5333333330000001,0.05688857599999997,-0.07007210900000005,-0.0002509099999999931,-4.009795920000002,0.19084079199999948,-2.148319729999997,0.36733327299999985,-0.04727891200000006,-0.016728827
