match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,rank_diff,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr,0_prob,1_prob,t1_odds,t2_odds
2360712,2022-12-09 19:00,12000,11982,500,ikla,1,2,0,3,27,51,-24,0,1,26.71039686,1.630566536,26.85858553,3.609793973,0.481522765,1023.069301,1055.879936,0.452921571,41,10,24,3,9,0.666666667,2,5,13,0.538461538,1,3,0,0.0,0.0,1.110625,0.21140804,13.3125,3.512811374,1.5625,0.998044964,1.11125,0.211767414,74.86625,9.752711722,71.41875,7.519333311,0.5625,0.390312375,1.065483871,0.185990612,13.96774194,3.763010728,1.35483871,1.093924191,1.065612903,0.185533873,73.15354839,7.087088464,69.70967742,6.520352001,0.612903226,0.395736908,0.44364045292329957,0.5563595470767004,1.7973956012055954,2.2540725024919808
2360762,2022-12-09 00:00,9996,11837,9z,fluxo,2,0,1,3,22,26,-4,0,1,26.72918795,3.780998222,26.88020327,3.47163699,0.483017937,1041.037436,1023.867137,0.524689948,82,13,82,12,12,0.583333333,0,36,11,0.636363636,1,2,2,0.0,0.416445623,1.022380952,0.221787216,12.61904762,4.36955038,1.523809524,0.793968191,1.022285714,0.220976435,71.03047619,8.138296579,69.39428571,8.777111235,0.404761905,0.331628292,1.0788,0.219751132,14.4,3.2,2.12,1.365869686,1.0784,0.218671626,73.044,9.245532543,70.4304,8.812663833,0.64,0.361109402,0.5024933501936988,0.4975066498063012,2.010019344203729,1.9900721264120191
2360769,2022-12-11 02:00,5005,6947,complexity,teamone,2,1,1,3,20,42,-22,0,1,26.6383975,1.550084546,23.51313379,2.1941382,0.859133123,1054.26981,1104.603784,0.428066139,115,26,185,23,20,0.45,3,6,18,0.5,0,4,0,0.0,0.0,1.08047619,0.190849634,13.28571429,3.260774917,1.952380952,1.557659737,1.080380952,0.190317648,73.55142857,7.383548176,70.99,6.701902004,0.583333333,0.37664981,1.004857143,0.210514627,12.71428571,3.501603131,1.514285714,1.052111579,1.002895238,0.211102439,71.05266667,8.951608521,68.02790476,7.56303131,0.585714286,0.405069911,0.32499282301031696,0.675007176989683,1.4814635349451244,3.076981558410281
2360787,2022-12-11 16:00,12000,9806,500,apeks,1,2,0,3,27,70,-43,0,1,26.56412063,1.626382897,25.15113767,1.699583036,0.690121005,1018.540086,1068.023162,0.429265753,43,11,5,3,10,0.6,0,2,2,0.5,1,1,0,0.0,0.0,1.103157895,0.201939351,13.57894737,3.529064129,1.736842105,1.017846295,1.103789474,0.202384621,74.38631579,9.334161485,71.53157895,7.120184255,0.5,0.397359707,1.174,0.20981897,13.2,1.833030278,1.6,1.356465997,1.1736,0.207851485,77.964,10.4954573,77.0,8.601702157,0.5,0.316227766,0.39980878115897833,0.6001912188410217,1.6661328964427629,2.501189433387987
2360798,2022-12-11 21:00,4773,9215,pain,mibr,2,1,1,3,21,36,-15,0,1,27.40733921,2.620421181,24.22750132,2.355401729,0.84768589,1080.940369,1067.966576,0.518662116,116,16,115,22,8,0.5,1,7,13,0.307692308,0,8,0,0.0,0.0,1.075,0.23753947,12.625,3.314268396,1.4375,0.998044964,1.073875,0.23699733,73.22625,8.217708679,71.21125,8.472791655,0.4375,0.347985273,1.049285714,0.196358429,12.67857143,3.218845971,1.321428571,1.3377372,1.049928571,0.195574963,71.92285714,8.09563324,70.53714286,8.360770153,0.428571429,0.346262847,0.33774704714775694,0.6622529528522431,1.5099947621197698,2.960786919257962
2360799,2022-12-12 00:55,5005,11948,complexity,nouns,0,2,0,3,20,46,-26,0,1,26.70738901,1.548196031,22.00220135,3.763092727,0.924325005,1059.91776,1096.281798,0.447858202,116,27,0,1,21,0.476190476,4,1,15,0.466666667,0,4,2,1.0,0.633540373,1.081555556,0.188596637,13.2,3.194439614,1.911111111,1.532205705,1.081466667,0.188220863,73.48177778,7.345349939,71.16133333,6.612086442,0.611111111,0.378430808,0.970689655,0.180839632,11.96551724,3.518255432,1.793103448,1.156072732,0.969931034,0.180765791,71.44482759,6.408459184,65.99172414,6.46675214,0.431034483,0.387835237,0.2691107322309474,0.7308892677690526,1.3681944391630358,3.715928665428143
2360814,2022-12-12 04:30,4773,11948,pain,nouns,2,0,1,3,21,46,-25,0,1,27.56082628,2.602850875,22.00220135,3.763092727,0.94759578,1085.753748,1096.281798,0.484853554,117,17,0,2,9,0.555555556,2,1,16,0.5,1,0,1,1.0,0.666666667,1.062105263,0.228002284,12.57894737,3.529064129,1.421052632,0.935599412,1.061052632,0.227267863,72.24421053,8.364175686,71.22210526,7.861891817,0.421052632,0.334945317,0.985483871,0.183915105,12.09677419,3.439381403,1.741935484,1.163081057,0.984903226,0.184055979,71.90709677,6.573826005,66.64322581,6.728959267,0.419354839,0.383043293,0.2770866363100136,0.7229133636899864,1.3832897093034364,3.608966510801555
2360823,2022-12-13 20:00,8637,12009,sprout,permitta,2,0,1,3,19,56,-37,0,1,26.95176483,1.721419345,22.27134033,7.901286571,0.852015199,1034.216884,1000.090649,0.548954268,119,35,6,2,28,0.428571429,0,1,2,0.0,0,6,0,0.0,0.0,1.044833333,0.184873756,14.33333333,3.944053189,1.983333333,1.543714856,1.045766667,0.184486708,73.35433333,7.285440359,69.08666667,7.619374136,0.508333333,0.381790373,1.155,0.195,15.5,0.5,0.0,0.0,1.159,0.195,73.49,3.31,74.12,8.76,0.25,0.25,0.256746853588091,0.743253146411909,1.3454348083055339,3.8948718987319473
2360831,2022-12-15 13:00,7718,7441,movistar-riders,eclot,0,2,0,3,23,52,-29,0,0,24.04551769,2.449575878,25.76887906,4.245418927,0.309781598,1007.119787,980.6820689,0.53797367,51,7,8,2,14,0.142857143,0,2,23,0.347826087,1,8,0,0.0,0.0,0.949032258,0.162745692,12.35483871,3.78066718,1.451612903,1.340166328,0.949354839,0.162787324,68.75935484,7.031597779,66.37225806,6.708528376,0.483870968,0.323386091,0.976727273,0.185472905,12.69090909,4.28474133,1.454545455,1.3858792,0.976836364,0.185487541,70.17818182,6.944798732,66.868,8.478936125,0.527272727,0.349261322,0.5305245653449544,0.46947543465504554,2.1300323641052703,1.8849233011981004
2360839,2022-12-17 13:00,9806,9928,apeks,gamerlegion,2,0,1,3,54,21,33,0,1,25.60963744,1.683846465,27.22391257,1.663594804,0.28533871,1045.53377,1036.16251,0.513483057,11,7,74,21,6,0.833333333,3,1,20,0.5,0,10,0,0.0,0.0,1.17625,0.195572078,13.25,2.304886114,1.625,1.316956719,1.17525,0.195143377,78.87,8.828080199,74.4575,8.366005244,0.5625,0.242061459,1.036285714,0.199701001,13.71428571,4.286666561,1.714285714,1.364267016,1.036971429,0.200029353,73.364,8.382287175,69.05028571,7.812580874,0.428571429,0.380654646,0.5504155560006329,0.44958444399936714,2.2242713000321417,1.816805815700882
