match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,rank_diff,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr
2357021,2022-07-05 15:25,7175,4494,heroic,mouz,2,1,1,3,10,18,-8,1,1,27.88862665,1.402476413,27.95653544,1.880334896,0.490468244,1132.741446,1056.237109,0.608352996,0,2,84,25,18,0.5,0,0,24,0.583333333,1,0,0,0.0,0.0,1.104857143,0.18578592,14.17142857,2.645597035,1.257142857,0.995500079,1.104857143,0.186599823,74.57028571,6.964353928,72.45314286,6.644824311,0.6,0.311677489,1.067291667,0.198627998,13.83333333,2.939198681,1.229166667,0.918322368,1.067708333,0.197995366,72.62,7.987293033,69.57083333,7.595273704,0.479166667,0.352939049
2357022,2022-07-05 16:00,7020,11309,spirit,00nation,2,1,1,3,11,29,-18,1,1,28.418752,2.860664522,26.50800443,2.325409689,0.721622589,1064.114616,1009.791257,0.577546699,0,2,4,5,19,0.684210526,1,0,4,0.25,0,0,0,0.0,0.0,1.1409375,0.187055463,14.21875,3.497627544,1.5625,1.116285694,1.140375,0.187373582,75.286875,7.215519055,72.18625,7.537216724,0.546875,0.3391021,1.076666667,0.206128331,14.16666667,3.435921355,0.833333333,0.687184271,1.075,0.204231078,73.35333333,8.482827097,71.39,7.964318343,0.416666667,0.186338998
2357023,2022-07-05 19:00,7532,11595,big,outsiders,0,2,0,3,9,16,-7,1,1,28.13463619,1.614751531,27.5750369,1.432869785,0.578580233,1012.866793,1024.966561,0.48259407,8,5,19,10,30,0.533333333,0,0,22,0.5,0,0,1,1.0,0.666666667,1.065333333,0.1926609,13.68333333,3.309036449,1.483333333,1.176033824,1.065766667,0.192372587,72.719,7.978615941,69.75633333,7.820677287,0.533333333,0.363623737,1.096315789,0.186497087,14.05263158,2.282050883,1.5,1.428101426,1.096,0.186152739,72.80578947,8.254610078,72.38157895,7.290637661,0.5,0.324442842
2357024,2022-07-05 20:20,7718,9565,movistar-riders,vitality,2,0,1,3,14,5,9,1,1,27.94775737,1.717226856,28.96404284,1.393548753,0.359210031,1029.188532,1076.571938,0.432229445,321,77,156,37,21,0.476190476,1,0,23,0.565217391,0,0,0,0.0,0.0,1.027674419,0.23532103,13.11627907,4.23281369,1.302325581,1.023784219,1.028511628,0.235356669,71.0544186,9.582259117,69.47906977,9.262366922,0.511627907,0.381069061,1.071818182,0.224066475,13.09090909,3.623271888,1.5,1.138180366,1.071545455,0.22441879,73.52318182,8.773917901,70.20363636,8.681769062,0.522727273,0.336332922
2357025,2022-07-05 16:00,8637,4773,sprout,pain,2,1,1,3,23,30,-7,1,1,27.81376626,2.114481164,26.35675119,2.300528909,0.685819684,994.348743,1095.057035,0.358996212,47,26,125,39,29,0.586206897,1,0,24,0.666666667,0,0,0,0.0,0.0,1.043934426,0.224004381,13.98360656,4.123073035,1.459016393,1.22238373,1.043672131,0.224700071,72.73672131,8.97011006,68.78885246,7.949620488,0.549180328,0.391559702,1.104285714,0.210461107,15.14285714,4.476697033,1.530612245,1.356797562,1.104040816,0.210498142,74.83918367,8.012609409,72.08693878,8.168714385,0.479591837,0.390697749
2357026,2022-07-05 20:20,5005,6665,complexity,astralis,0,2,0,3,36,12,24,1,1,26.14448619,1.700433607,28.29550398,1.415607224,0.22243719,1084.15044,1055.104454,0.541703422,167,34,97,33,18,0.333333333,0,0,26,0.461538462,1,0,3,0.333333333,0.396895944,0.941714286,0.205752774,11.8,3.853013663,1.771428571,1.173169438,0.941942857,0.206414,68.47771429,8.813288371,66.88057143,7.909771874,0.457142857,0.301695887,1.061698113,0.221672339,12.98113208,3.652296078,1.113207547,0.904086683,1.061056604,0.221864349,73.41735849,8.745181779,69.8045283,8.270980998,0.481132075,0.335933846
2357027,2022-07-06 12:30,8668,9455,order,imperial,1,2,0,3,48,17,31,1,1,26.71146172,2.902631516,26.44948128,1.96186289,0.533723553,986.1475403,1055.508689,0.401486573,19,4,103,30,3,0.333333333,1,1,26,0.461538462,1,1,0,0.0,0.0,0.822,0.146342065,10.8,4.354308211,0.8,0.748331477,0.8228,0.145137728,64.452,5.958585067,62.036,7.129391559,0.3,0.244948974,1.030377358,0.191064172,13.9245283,4.05085156,1.094339623,1.032749599,1.030415094,0.190578606,71.62792453,6.984760057,69.02075472,8.256405141,0.471698113,0.342233154
2357028,2022-07-06 12:30,9215,4863,mibr,tyloo,1,2,0,3,20,55,-35,1,1,26.0968592,3.089547317,26.00532627,3.559565332,0.510602389,1039.180702,1037.519065,0.50239127,28,8,19,4,25,0.48,0,1,3,0.333333333,1,1,2,1.0,0.547619048,1.006046512,0.196695249,13.13953488,5.626273067,1.558139535,1.206615979,1.005534884,0.196713385,69.54976744,8.877079314,68.87116279,8.634627208,0.406976744,0.345331219,0.798,0.188297637,10.0,5.403702434,0.6,0.8,0.7964,0.187776037,64.004,6.040270193,59.84,6.584199268,0.4,0.2
2357029,2022-07-06 16:00,8637,9565,sprout,vitality,1,2,0,3,23,5,18,1,1,27.26675014,2.24157548,28.71663206,1.391518547,0.309679729,991.1802467,1080.932285,0.37363491,48,27,157,38,30,0.6,2,1,24,0.541666667,0,1,0,0.0,0.0,1.05203125,0.222297518,14.078125,4.051638124,1.4375,1.210307296,1.05184375,0.22299448,73.10625,8.960564209,69.195625,7.987137683,0.5703125,0.393970053,1.061086957,0.225545024,13.06521739,3.547210624,1.47826087,1.11782262,1.060782609,0.225962859,72.90695652,9.056114166,70.00695652,8.59647169,0.510869565,0.337657056
2357030,2022-07-06 16:15,7532,6665,big,astralis,1,2,0,3,9,12,-3,1,1,27.85692262,1.606018559,28.37403921,1.414578484,0.427196756,1007.550095,1049.521519,0.439890383,9,6,98,34,31,0.516129032,0,1,27,0.481481481,2,1,2,0.0,0.376311844,1.058387097,0.19384225,13.56451613,3.319643236,1.435483871,1.186224259,1.058870968,0.19351073,72.39258065,8.04994589,69.61967742,7.793147935,0.532258065,0.357759242,1.064909091,0.218364772,13.09090909,3.649521649,1.145454545,0.922805639,1.064363636,0.218604197,73.50981818,8.601800972,69.88836364,8.144744823,0.490909091,0.336977327
2357031,2022-07-06 20:30,11309,9455,00nation,imperial,2,0,1,3,29,17,12,1,1,26.55989067,2.538414572,26.44948128,1.96186289,0.514304446,1009.995922,1055.508689,0.434873959,5,6,103,31,5,0.2,0,1,27,0.481481481,2,0,0,0.0,0.0,1.026666667,0.225388553,13.55555556,4.499657051,0.777777778,0.628539361,1.026444444,0.223315975,72.12222222,7.933851212,69.71333333,8.353559454,0.388888889,0.207869855,1.030892857,0.189154857,13.91071429,3.96987219,1.125,1.053268722,1.030892857,0.188742424,71.60964286,6.91558694,68.90821429,8.199480625,0.473214286,0.333001004
2357032,2022-07-06 20:20,4494,4863,mouz,tyloo,2,0,1,3,18,55,-37,1,1,28.09173864,1.873153697,26.00532627,3.559565332,0.739833219,1061.793459,1037.519065,0.53487693,85,26,19,5,25,0.56,0,1,4,0.5,2,0,0,0.0,0.0,1.052941176,0.209511983,13.62745098,3.124606857,1.274509804,0.971726407,1.053411765,0.208896745,72.13803922,8.3570745,68.94941176,8.118696266,0.480392157,0.342436259,0.9125,0.298778764,10.5,4.55521679,1.0,0.866025404,0.91225,0.299440207,68.5025,11.95061688,63.8525,11.06610563,0.5625,0.29973947
