Date,P/L,Cumulative
2023/08/01 12:30,1.45,33.31
2023/08/01 12:30,0,33.31
2023/08/01 16:00,-1,32.31
2023/08/01 16:00,1.53,33.84
2023/08/01 20:15,1.22,35.06
2023/08/01 20:25,1.9,36.96
2023/08/04 15:30,-1,35.96
2023/08/04 19:10,0,35.96
2023/08/05 15:30,1.68,37.64
2023/08/05 20:10,0,37.64
2023/08/06 16:00,-1,36.64
2023/08/16 13:00,1.03,37.67
2023/08/16 13:00,-1,36.67
2023/08/16 16:30,-1,35.67
2023/08/16 17:15,-1,34.67
2023/08/16 20:00,-1,33.67
2023/08/16 20:30,-1,32.67
2023/08/17 13:00,-1,31.67
2023/08/17 17:45,1.24,32.91
2023/08/17 22:30,-1,31.91
2023/08/18 13:00,-1,30.91
2023/08/18 17:10,0,30.91
2023/08/18 20:20,-1,29.91
2023/08/19 16:30,-1,28.91
2023/08/19 20:10,0,28.91
2023/08/20 19:00,-1,27.91
2023/08/30 16:00,2.1,30.01
2023/08/30 16:00,-1,29.01
2023/08/30 19:45,1.92,30.93
2023/08/30 19:30,-1,29.93
2023/08/31 12:30,-1,28.93
2023/08/31 19:45,-1,27.93
2023/08/31 16:00,0,27.93
2023/08/31 19:30,-1,26.93
2023/09/01 16:00,-1,25.93
2023/09/01 19:30,0,25.93
2023/09/02 12:30,-1,24.93
2023/09/02 16:30,-1,23.93
2023/09/02 19:30,1.4,25.33
2023/09/03 12:30,-1,24.33
2023/09/03 16:00,-1,23.33
2023/09/03 19:30,0,23.33
2023/09/06 16:00,0,23.33
2023/09/06 16:00,-1,22.33
2023/09/06 20:10,-1,21.33
2023/09/06 19:30,3.26,24.59
2023/09/07 12:30,-1,23.59
2023/09/07 20:10,-1,22.59
2023/09/07 16:15,3.21,25.8
2023/09/07 19:30,-1,24.8
2023/09/08 16:00,-1,23.8
2023/09/08 20:00,1.72,25.52
2023/09/09 12:30,-1,24.52
2023/09/09 16:00,-1,23.52
2023/09/09 19:30,2.39,25.91
2023/09/10 12:30,-1,24.91
2023/09/10 17:30,-1,23.91
2023/09/10 21:30,0.81,24.72
2023/09/13 16:00,-1,23.72
2023/09/13 16:00,-1,22.72
2023/09/13 19:30,-1,21.72
