,rank,opp_rank,rank_diff,map_playcount,opp_map_playcount,map_winrate,opp_map_winrate,all_maps_winrate,all_maps_playcount,opp_all_maps_winrate,opp_all_maps_playcount,h2h_maps,h2h_wr,opp_h2h_wr,lan,format,win
22,15,16,1,3.0,4.0,0.3333333333333333,0.5,0.45161290322580644,31.0,0.42105263157894735,19.0,1.0,0.0,1.0,True,3,0
23,21,1,-20,2.0,3.0,0.5,0.3333333333333333,0.3076923076923077,13.0,0.525,40.0,3.0,0.6666666666666666,0.3333333333333333,True,3,1
24,21,1,-20,4.0,8.0,0.5,0.75,0.35714285714285715,14.0,0.5121951219512195,41.0,4.0,0.75,0.25,True,3,0
25,21,1,-20,2.0,7.0,0.0,0.7142857142857143,0.3333333333333333,15.0,0.5238095238095238,42.0,5.0,0.6,0.4,True,3,0
26,12,4,-8,6.0,8.0,0.16666666666666666,0.875,0.4444444444444444,27.0,0.5142857142857142,35.0,5.0,0.6,0.4,True,3,1
27,12,4,-8,5.0,4.0,0.6,0.25,0.4642857142857143,28.0,0.5,36.0,6.0,0.6666666666666666,0.3333333333333333,True,3,0
28,12,4,-8,2.0,5.0,0.5,0.4,0.4482758620689655,29.0,0.5135135135135135,37.0,7.0,0.5714285714285714,0.42857142857142855,True,3,1
29,8,16,8,6.0,5.0,0.3333333333333333,0.6,0.4838709677419355,31.0,0.45,20.0,6.0,0.5,0.5,True,3,1
30,8,16,8,9.0,5.0,0.4444444444444444,0.4,0.5,32.0,0.42857142857142855,21.0,7.0,0.5714285714285714,0.42857142857142855,True,3,0
31,8,16,8,3.0,4.0,0.3333333333333333,0.5,0.48484848484848486,33.0,0.45454545454545453,22.0,8.0,0.5,0.5,True,3,1
32,9,1,-8,4.0,8.0,0.25,0.75,0.5416666666666666,24.0,0.5348837209302325,43.0,0.0,0.0,0.0,True,3,1
33,9,1,-8,3.0,4.0,0.3333333333333333,0.25,0.56,25.0,0.5227272727272727,44.0,1.0,1.0,0.0,True,3,0
34,9,1,-8,5.0,6.0,0.6,0.8333333333333334,0.5384615384615384,26.0,0.5333333333333333,45.0,2.0,0.5,0.5,True,3,1
35,3,12,9,6.0,7.0,0.5,0.2857142857142857,0.5714285714285714,28.0,0.4666666666666667,30.0,5.0,0.8,0.2,True,3,1
36,3,12,9,4.0,6.0,0.75,0.5,0.5862068965517241,29.0,0.45161290322580644,31.0,6.0,0.8333333333333334,0.16666666666666666,True,3,1
37,2,8,6,6.0,7.0,0.8333333333333334,0.42857142857142855,0.6956521739130435,23.0,0.5,34.0,2.0,1.0,0.0,True,3,1
38,2,8,6,5.0,5.0,1.0,0.6,0.7083333333333334,24.0,0.4857142857142857,35.0,3.0,1.0,0.0,True,3,1
39,22,21,-1,1.0,0.0,0.0,0.0,0.45454545454545453,22.0,0.3125,16.0,0.0,0.0,0.0,True,3,1
40,22,21,-1,3.0,3.0,0.3333333333333333,0.0,0.4782608695652174,23.0,0.29411764705882354,17.0,1.0,1.0,0.0,True,3,0
41,22,21,-1,8.0,5.0,0.5,0.4,0.4583333333333333,24.0,0.3333333333333333,18.0,2.0,0.5,0.5,True,3,1
42,15,4,-11,4.0,1.0,0.5,0.0,0.4375,32.0,0.5,38.0,0.0,0.0,0.0,True,3,1
43,15,4,-11,0.0,4.0,0.0,0.75,0.45454545454545453,33.0,0.48717948717948717,39.0,1.0,1.0,0.0,True,3,1
44,18,16,-2,5.0,5.0,0.4,0.4,0.48148148148148145,27.0,0.43478260869565216,23.0,0.0,0.0,0.0,True,3,0
45,18,16,-2,6.0,6.0,0.3333333333333333,0.5,0.4642857142857143,28.0,0.4583333333333333,24.0,1.0,0.0,1.0,True,3,1
46,18,16,-2,3.0,3.0,0.6666666666666666,0.3333333333333333,0.4827586206896552,29.0,0.44,25.0,2.0,0.5,0.5,True,3,1
47,8,22,14,0.0,2.0,0.0,0.5,0.4722222222222222,36.0,0.48,25.0,0.0,0.0,0.0,True,3,1
48,8,22,14,8.0,4.0,0.375,0.25,0.4864864864864865,37.0,0.46153846153846156,26.0,1.0,1.0,0.0,True,3,0
49,8,22,14,4.0,9.0,0.5,0.5555555555555556,0.47368421052631576,38.0,0.48148148148148145,27.0,2.0,0.5,0.5,True,3,1
50,1,15,14,7.0,5.0,0.7142857142857143,0.6,0.5217391304347826,46.0,0.47058823529411764,34.0,0.0,0.0,0.0,True,3,1
51,1,15,14,5.0,0.0,0.6,0.0,0.5319148936170213,47.0,0.45714285714285713,35.0,1.0,1.0,0.0,True,3,0
52,1,15,14,10.0,4.0,0.1,0.25,0.5208333333333334,48.0,0.4722222222222222,36.0,2.0,0.5,0.5,True,3,1
53,12,18,6,7.0,3.0,0.5714285714285714,0.3333333333333333,0.41935483870967744,31.0,0.5,30.0,0.0,0.0,0.0,True,3,1
54,12,18,6,2.0,2.0,0.0,0.0,0.4375,32.0,0.4838709677419355,31.0,1.0,1.0,0.0,True,3,0
55,12,18,6,7.0,4.0,0.42857142857142855,0.75,0.42424242424242425,33.0,0.5,32.0,2.0,0.5,0.5,True,3,0
56,15,27,12,4.0,1.0,0.5,0.0,0.625,24.0,0.7272727272727273,11.0,0.0,0.0,0.0,True,1,1
57,10,21,11,3.0,4.0,0.6666666666666666,0.25,0.7777777777777778,18.0,0.35714285714285715,14.0,0.0,0.0,0.0,True,1,1
58,20,11,-9,6.0,7.0,0.5,0.5714285714285714,0.5384615384615384,39.0,0.4,30.0,0.0,0.0,0.0,True,1,0
59,16,19,3,1.0,3.0,1.0,0.3333333333333333,0.40625,32.0,0.4642857142857143,28.0,0.0,0.0,0.0,True,1,1
60,13,17,4,6.0,2.0,0.5,0.5,0.5217391304347826,23.0,0.4444444444444444,27.0,0.0,0.0,0.0,True,3,0
61,13,17,4,2.0,7.0,0.0,0.42857142857142855,0.5,24.0,0.4642857142857143,28.0,1.0,0.0,1.0,True,3,0
62,12,15,3,0.0,0.0,0.0,0.0,0.8,10.0,0.64,25.0,0.0,0.0,0.0,True,3,1
63,12,15,3,2.0,1.0,1.0,1.0,0.8181818181818182,11.0,0.6153846153846154,26.0,1.0,1.0,0.0,True,3,0
64,9,16,7,0.0,2.0,0.0,1.0,0.7272727272727273,11.0,0.42424242424242425,33.0,2.0,1.0,0.0,True,3,1
65,12,15,3,1.0,5.0,1.0,0.6,0.75,12.0,0.6296296296296297,27.0,2.0,0.5,0.5,True,3,1
66,9,16,7,3.0,8.0,1.0,0.375,0.75,12.0,0.4117647058823529,34.0,3.0,1.0,0.0,True,3,0
67,10,11,1,5.0,2.0,1.0,1.0,0.7894736842105263,19.0,0.42857142857142855,28.0,0.0,0.0,0.0,True,3,1
68,9,16,7,2.0,1.0,0.5,1.0,0.6923076923076923,13.0,0.42857142857142855,35.0,4.0,0.75,0.25,True,3,0
69,10,11,1,5.0,7.0,0.6,0.2857142857142857,0.8,20.0,0.41379310344827586,29.0,1.0,1.0,0.0,True,3,0
70,10,11,1,4.0,7.0,0.75,0.5714285714285714,0.7619047619047619,21.0,0.43333333333333335,30.0,2.0,0.5,0.5,True,3,0
71,21,20,-1,1.0,8.0,1.0,0.875,0.3333333333333333,15.0,0.525,40.0,0.0,0.0,0.0,True,3,0
72,21,20,-1,2.0,4.0,0.0,0.25,0.3125,16.0,0.5365853658536586,41.0,1.0,0.0,1.0,True,3,0
73,15,19,4,1.0,4.0,0.0,0.25,0.6071428571428571,28.0,0.4838709677419355,31.0,0.0,0.0,0.0,True,3,0
